timestamp,name,cpu_percent,mem_usage,mem_percent,pids
2026-08-09T08:06:11.041605418Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:06:11.041605418Z,converact-g03-53-router-b63383b,0.08%,37.09MiB / 7.506GiB,0.48%,18
2026-08-09T08:07:13.575835082Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:07:13.575835082Z,converact-g03-53-router-b63383b,0.08%,37.16MiB / 7.506GiB,0.48%,18
2026-08-09T08:08:16.110120467Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:08:16.110120467Z,converact-g03-53-router-b63383b,0.05%,37.23MiB / 7.506GiB,0.48%,18
2026-08-09T08:09:18.644427090Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:09:18.644427090Z,converact-g03-53-router-b63383b,0.04%,37.04MiB / 7.506GiB,0.48%,18
2026-08-09T08:10:21.176825910Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:10:21.176825910Z,converact-g03-53-router-b63383b,0.04%,37.11MiB / 7.506GiB,0.48%,18
2026-08-09T08:11:23.710963817Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:11:23.710963817Z,converact-g03-53-router-b63383b,0.04%,37.18MiB / 7.506GiB,0.48%,18
2026-08-09T08:12:26.244288647Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:12:26.244288647Z,converact-g03-53-router-b63383b,0.05%,36.99MiB / 7.506GiB,0.48%,18
2026-08-09T08:13:28.776747786Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:13:28.776747786Z,converact-g03-53-router-b63383b,0.08%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:14:31.310667361Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:14:31.310667361Z,converact-g03-53-router-b63383b,0.04%,37.13MiB / 7.506GiB,0.48%,18
2026-08-09T08:15:33.843252984Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:15:33.843252984Z,converact-g03-53-router-b63383b,0.08%,37.2MiB / 7.506GiB,0.48%,18
2026-08-09T08:16:36.375631693Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:16:36.375631693Z,converact-g03-53-router-b63383b,0.04%,37.01MiB / 7.506GiB,0.48%,18
2026-08-09T08:17:38.909266847Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:17:38.909266847Z,converact-g03-53-router-b63383b,0.09%,37.08MiB / 7.506GiB,0.48%,18
2026-08-09T08:18:40.441515867Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:18:40.441515867Z,converact-g03-53-router-b63383b,0.05%,37.15MiB / 7.506GiB,0.48%,18
2026-08-09T08:19:42.973917826Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:19:42.973917826Z,converact-g03-53-router-b63383b,0.09%,37.22MiB / 7.506GiB,0.48%,18
2026-08-09T08:20:45.519112224Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:20:45.519112224Z,converact-g03-53-router-b63383b,0.09%,37.03MiB / 7.506GiB,0.48%,18
2026-08-09T08:21:47.051239416Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:21:47.051239416Z,converact-g03-53-router-b63383b,0.05%,37.11MiB / 7.506GiB,0.48%,18
2026-08-09T08:22:49.584167256Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:22:49.584167256Z,converact-g03-53-router-b63383b,0.10%,37.2MiB / 7.506GiB,0.48%,18
2026-08-09T08:23:52.116404150Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:23:52.116404150Z,converact-g03-53-router-b63383b,0.09%,37.26MiB / 7.506GiB,0.48%,18
2026-08-09T08:24:54.648469014Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:24:54.648469014Z,converact-g03-53-router-b63383b,0.04%,37.06MiB / 7.506GiB,0.48%,18
2026-08-09T08:25:57.181923937Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:25:57.181923937Z,converact-g03-53-router-b63383b,0.06%,37.13MiB / 7.506GiB,0.48%,18
2026-08-09T08:26:59.713743524Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:26:59.713743524Z,converact-g03-53-router-b63383b,0.09%,37.2MiB / 7.506GiB,0.48%,18
2026-08-09T08:28:02.246409006Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:28:02.246409006Z,converact-g03-53-router-b63383b,0.08%,37.27MiB / 7.506GiB,0.48%,18
2026-08-09T08:29:04.779180145Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:29:04.779180145Z,converact-g03-53-router-b63383b,0.04%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:30:07.311534825Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:30:07.311534825Z,converact-g03-53-router-b63383b,0.05%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:31:09.847931411Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:31:09.847931411Z,converact-g03-53-router-b63383b,0.09%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:32:12.383414361Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:32:12.383414361Z,converact-g03-53-router-b63383b,0.09%,37.29MiB / 7.506GiB,0.49%,18
2026-08-09T08:33:14.915669001Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:33:14.915669001Z,converact-g03-53-router-b63383b,0.05%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:34:17.447944886Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:34:17.447944886Z,converact-g03-53-router-b63383b,0.04%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:35:19.979152307Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:35:19.979152307Z,converact-g03-53-router-b63383b,0.04%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:36:22.513131427Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:36:22.513131427Z,converact-g03-53-router-b63383b,0.04%,37.29MiB / 7.506GiB,0.49%,18
2026-08-09T08:37:25.046629470Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:37:25.046629470Z,converact-g03-53-router-b63383b,0.05%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:38:27.579386989Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:38:27.579386989Z,converact-g03-53-router-b63383b,0.04%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:39:30.112203214Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:39:30.112203214Z,converact-g03-53-router-b63383b,0.04%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:40:32.648523639Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:40:32.648523639Z,converact-g03-53-router-b63383b,0.04%,37.28MiB / 7.506GiB,0.49%,18
2026-08-09T08:41:35.181448165Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:41:35.181448165Z,converact-g03-53-router-b63383b,0.08%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:42:37.714663341Z,converact-g03-53-rustpbx-b63383b,0.02%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:42:37.714663341Z,converact-g03-53-router-b63383b,0.04%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:43:40.246884474Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:43:40.246884474Z,converact-g03-53-router-b63383b,0.04%,37.42MiB / 7.506GiB,0.49%,18
2026-08-09T08:44:42.778988858Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:44:42.778988858Z,converact-g03-53-router-b63383b,0.08%,37.29MiB / 7.506GiB,0.49%,18
2026-08-09T08:45:45.311192918Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:45:45.311192918Z,converact-g03-53-router-b63383b,0.05%,37.08MiB / 7.506GiB,0.48%,18
2026-08-09T08:46:47.842181201Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:46:47.842181201Z,converact-g03-53-router-b63383b,0.05%,37.14MiB / 7.506GiB,0.48%,18
2026-08-09T08:47:50.374745022Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:47:50.374745022Z,converact-g03-53-router-b63383b,0.04%,37.21MiB / 7.506GiB,0.48%,18
2026-08-09T08:48:52.906288853Z,converact-g03-53-rustpbx-b63383b,0.03%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:48:52.906288853Z,converact-g03-53-router-b63383b,0.04%,37.29MiB / 7.506GiB,0.49%,18
2026-08-09T08:49:55.440059489Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:49:55.440059489Z,converact-g03-53-router-b63383b,0.04%,37.07MiB / 7.506GiB,0.48%,18
2026-08-09T08:50:57.971281570Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:50:57.971281570Z,converact-g03-53-router-b63383b,0.08%,37.16MiB / 7.506GiB,0.48%,18
2026-08-09T08:52:00.503918094Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:52:00.503918094Z,converact-g03-53-router-b63383b,0.04%,37.23MiB / 7.506GiB,0.48%,18
2026-08-09T08:53:03.037116664Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:53:03.037116664Z,converact-g03-53-router-b63383b,0.08%,37.3MiB / 7.506GiB,0.49%,18
2026-08-09T08:54:05.572710898Z,converact-g03-53-rustpbx-b63383b,0.01%,249.5MiB / 7.506GiB,3.25%,9
2026-08-09T08:54:05.572710898Z,converact-g03-53-router-b63383b,0.05%,37.09MiB / 7.506GiB,0.48%,18
