Date_ms;response_time_ms;rtd_no
5423.02;1;sip_route
5433.02;1;sip_route
5443.02;1;sip_route
5453.02;0;sip_route
5463.02;1;sip_route
5472.02;0;sip_route
5483.02;1;sip_route
5494.02;1;sip_route
5504.02;1;sip_route
5514.02;0;sip_route
5524.02;1;sip_route
5534.02;1;sip_route
5543.02;1;sip_route
5552.02;0;sip_route
5563.02;1;sip_route
5573.02;0;sip_route
5584.02;1;sip_route
5592.02;0;sip_route
5604.02;1;sip_route
5613.02;1;sip_route
5624.02;1;sip_route
5634.02;0;sip_route
5644.02;1;sip_route
5653.02;0;sip_route
5663.02;1;sip_route
5673.02;0;sip_route
5683.02;1;sip_route
5692.02;0;sip_route
5704.02;1;sip_route
5713.02;0;sip_route
5723.02;1;sip_route
5734.02;1;sip_route
5744.02;0;sip_route
5754.02;1;sip_route
5764.02;1;sip_route
5774.02;1;sip_route
5782.02;0;sip_route
5794.02;1;sip_route
5802.02;0;sip_route
5813.02;0;sip_route
5823.02;1;sip_route
5834.02;1;sip_route
5844.02;0;sip_route
5854.02;1;sip_route
5863.02;1;sip_route
5874.02;1;sip_route
5884.02;1;sip_route
5894.02;1;sip_route
5904.02;1;sip_route
5914.02;1;sip_route
5924.02;0;sip_route
5934.02;1;sip_route
5943.02;0;sip_route
5953.02;1;sip_route
5963.02;0;sip_route
5973.02;1;sip_route
5982.02;0;sip_route
5994.02;1;sip_route
6002.02;0;sip_route
6013.02;0;sip_route
6023.02;1;sip_route
6033.02;0;sip_route
6043.02;1;sip_route
6053.02;0;sip_route
6063.02;1;sip_route
6073.02;0;sip_route
6084.02;1;sip_route
6095.02;1;sip_route
6103.02;1;sip_route
6113.02;1;sip_route
6124.02;1;sip_route
6134.02;1;sip_route
6144.02;1;sip_route
6154.02;1;sip_route
6164.02;1;sip_route
6174.02;1;sip_route
6184.02;1;sip_route
6193.02;1;sip_route
6203.02;0;sip_route
6213.02;1;sip_route
6223.02;1;sip_route
6233.02;1;sip_route
6242.02;0;sip_route
